0.840000	0.890000	Sound 01
1.510000	1.560000	Sound 02
2.180000	2.240000	Sound 03
2.860000	2.910000	Sound 04
3.530000	3.590000	Sound 05
4.210000	4.260000	Sound 06
4.880000	4.930000	Sound 07
5.550000	5.610000	Sound 08
7.120000	7.190000	Sound 09
7.950000	8.360000	Sound 10
10.110000	10.170000	Sound 11
10.910000	11.300000	Sound 12
11.710000	11.780000	Sound 13
12.490000	12.770000	Sound 14
12.860000	12.880000	Sound 15
13.270000	13.330000	Sound 16
14.020000	14.570000	Sound 17
14.810000	15.330000	Sound 18
15.590000	15.990000	Sound 19
16.380000	16.450000	Sound 20
17.120000	17.250000	Sound 21
17.810000	17.950000	Sound 22
18.540000	18.670000	Sound 23
19.270000	19.730000	Sound 24
20.000000	20.430000	Sound 25
20.740000	21.190000	Sound 26
21.430000	21.550000	Sound 27
22.130000	22.240000	Sound 28
22.800000	23.230000	Sound 29
23.540000	23.940000	Sound 30
24.290000	24.760000	Sound 31
25.040000	25.490000	Sound 32
25.930000	25.990000	Sound 33
26.660000	26.730000	Sound 34
27.470000	27.590000	Sound 35
28.270000	28.410000	Sound 36
29.050000	30.180000	Sound 37
30.990000	31.700000	Sound 38
